EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Average Job Satisfaction  
1,3,4,2,2.715873016
2,3,2,4,2.715581765
3,2,2,1,2.715744102
4,4,4,3,2.715906512
5,4,1,3,2.71561507
6,3,2,2,2.71600454
7,1,3,1,2.716167121
8,1,2,3,2.716102657
9,2,4,3,2.716265334
10,2,1,3,2.715973642
11,3,4,3,2.716363636
12,NA,4,3,2.716071835
13,4,1,3,2.7157799
14,1,2,2,2.716170116
15,4,4,2,2.71633303
16,3,4,4,2.716040956
17,4,3,4,2.715748748
18,1,4,3,2.715684043
19,2,2,2,2.715391621
20,1,1,3,2.715554543
21,3,2,1,2.71594533
22,1,2,2,2.716108453
23,3,3,2,2.71627165
24,2,3,3,2.716206975
25,2,4,2,2.716142271
26,2,4,3,2.715849487
27,1,1,3,2.715556569
28,4,4,3,2.715947981
29,4,3,1,2.715654952
30,4,4,3,2.715590048
31,1,2,3,2.715296804
32,4,4,3,2.715460151
33,3,1,3,2.715166743
34,3,2,3,2.715558602
35,4,2,2,2.715722121
36,4,4,3,2.715885714
37,2,4,2,2.715592135
38,3,2,4,2.715298422
39,3,3,3,2.715462031
40,3,2,2,2.715396934
41,3,NA,3,2.715560641
42,4,2,3,2.716182193
43,4,2,3,2.716346154
44,4,3,3,2.71651019
45,2,1,3,2.716445259
46,2,4,2,2.716838488
47,3,4,2,2.716544455
48,2,2,3,2.716250287
49,4,3,2,2.716414489
50,1,2,3,2.716349461
51,4,3,3,2.716513761
52,3,4,3,2.716448727
53,1,1,3,2.716154199
54,1,1,3,2.716548084
55,3,4,1,2.716942149
56,4,2,3,2.716647532
57,3,1,3,2.716812127
58,3,4,3,2.717206524
59,3,3,3,2.716911765
60,3,2,2,2.716846702
61,3,2,2,2.717011494
62,3,2,3,2.717176362
63,4,3,3,2.717341306
64,4,4,3,2.717276282
65,1,4,2,2.716981132
66,1,4,2,2.716685846
67,4,4,3,2.716390424
68,3,3,3,2.716094865
69,3,4,3,2.71602948
70,4,3,2,2.715733702
71,2,4,2,2.715668203
72,4,3,3,2.715372206
73,3,3,4,2.715306593
74,3,2,3,2.71524095
75,4,3,2,2.715405904
76,3,1,2,2.715340254
77,4,4,3,2.715736041
78,2,4,2,2.715439649
79,2,1,2,2.715143121
80,2,4,3,2.715539136
81,4,3,3,2.715242494
82,2,2,3,2.715176715
83,4,4,2,2.715341959
84,3,4,3,2.715045066
85,3,4,NA,2.714748035
86,4,2,3,2.714450867
87,3,2,3,2.714616096
88,3,4,2,2.714781402
89,4,2,3,2.714484035
